Subject,Batch,PVC_Nr,Sow,Test_Nr,Novel_pig,OFT_expl_floor_wall_dur,OFT_voc_freq,NOT_expl_obj_dur,HAT_exploration_human_dur,NPT_sudden_display_freq,NPT_walking_by_fence_dur,NPT_NP_nose-nose_freq
9,4,9069,801,2,9104,44.736,20,45.498,5.298,2,16.501,2
10,4,9172,798,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,4,9095,801,1,9030,77.41,57,59.48,20.854,0,23.749,41
11,4,9095,801,2,9087,113.132,11,78.491,19.094,0,23.008,19
12,4,9080,800,1,9070,120.489,43,36.337,6.549,0,23.25,21
12,4,9080,800,2,9176,63.248,30,61.182,25.449,3,34.493,17
13,4,9130,795,1,9116,75.345,147,7.34,14.1,0,35.504,20
13,4,9130,795,2,9104,36.472,50,36.141,NA,3,23.993,10
14,4,7848,766,1,9128,30.76,308,22.284,0,0,141.13,10
14,4,7848,766,2,9087,29.828,86,63.568,54.061,0,77.495,29
15,4,9036,793,1,9030,74.039,165,10.897,10.404,1,58.757,16
15,4,9036,793,2,9199,59.003,64,23.649,109.059,0,21.497,25
16,4,9043,757,1,9116,16.853,161,23.084,6.749,1,53.492,19
16,4,9043,757,2,9176,29.64,56,13.248,3.456,0,0,15
17,4,7773,757,1,9128,21.534,103,0,0,0,87.996,30
17,4,7773,757,2,9199,NA,177,42.092,10.611,0,0,4
18,4,9112,672,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,9233,808,1,8556,70.58,270,84.197,13.343,0,50.586,13
1,5,9233,808,2,8629,NA,261,110.599,128.379,0,100.497,37
2,5,8548,804,1,8579,22.392,237,27.65,38.894,0,100.736,18
2,5,8548,804,2,9032,0,37,98.725,52.206,1,35.975,20
3,5,8572,804,1,8632,54.745,241,104.194,2.749,0,104.767,11
3,5,8572,804,2,8522,15.74,93,230.145,41.225,0,46.736,23
4,5,8653,728,1,8595,58.296,221,145.5,23.501,0,0,24
4,5,8653,728,2,8824,13.545,84,35.897,132.391,0,0,27
5,5,9166,810,1,8556,36.484,163,20.045,0,0,72.724,4
5,5,9166,810,2,8629,NA,67,89.087,224.163,0,78.26,17
6,5,8971,806,1,8579,77.298,266,32.651,21.35,0,89.743,12
6,5,8971,806,2,9032,108.991,51,46.334,101.745,0,92.247,19
7,5,8564,776,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,5,8672,813,1,8595,61.296,245,84.846,45.947,0,23.501,12
8,5,8672,813,2,8824,156.292,38,89.688,151.896,2,26.997,13
9,5,8530,775,1,8556,86.622,239,33.896,12.849,0,138.732,3
9,5,8530,775,2,8629,NA,234,88.021,49.19,0,63.266,22
10,5,9100,772,1,8579,50.238,153,93.936,23.947,0,15.504,8
10,5,9100,772,2,9032,NA,38,127.636,144.199,0,18.009,20
11,5,8623,775,1,8632,50.98,143,41.637,5.1,0,25.25,5
11,5,8623,775,2,8522,42.692,15,76.086,43.995,0,0,5
12,5,8515,772,1,8595,68.792,42,118.546,35.214,0,0,12
12,5,8515,772,2,8824,83.673,46,155.996,138.858,0,0,11
13,5,9089,806,1,8556,52.633,236,43.645,32.049,0,109.491,12
13,5,9089,806,2,8629,53.494,27,69.956,122.352,2,19.502,29
14,5,8596,810,1,8579,26.547,214,20.452,5.504,0,131.049,9
14,5,8596,810,2,9032,33.497,74,83.789,126.143,0,62.704,11
15,5,9135,809,1,8632,22.867,168,69.639,11.04,0,50.509,2
15,5,9135,809,2,8522,38.608,37,116.846,NA,0,14.748,21
16,5,9180,808,1,8595,26.196,222,11.399,2.648,0,76.734,3
16,5,9180,808,2,8824,28.29,65,13.041,20.343,0,38.492,22
17,5,8557,776,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,5,9028,813,1,8632,50.285,208,90.599,13.443,0,149.484,0
18,5,9028,813,2,8522,104.591,46,85.924,133.487,0,81.486,23
